"Pexp","Mconf","mu_m","rho","logL"
0.631092101335526,0.363119274377823,-0.754207134246826,0.160445272922516,-18.237036783409
0.872468113899231,0.594336479902267,-0.916699051856995,-0.121565967798233,-0.671176255524211
0.458841472864151,0.576370537281036,-0.187394797801971,0.375968098640442,-18.3420330250527
0.515435010194778,0.42361131310463,-1.0364026427269,-0.107917606830597,-15.3671314037419
0.893355965614319,0.40690404176712,-0.0616608262062073,0.5561563372612,-11.8849635176731
0.592129439115524,0.642064988613129,-0.453822731971741,0.284176111221313,-21.6123979408027
0.775127857923508,0.546891629695892,-1.14394402503967,0.171136528253555,-14.2160775576212
0.512097120285034,0.487620055675507,-0.935492843389511,0.203977972269058,-15.8108744296439
0.95908522605896,0.815726846456528,0.404937267303467,0.374136507511139,22.2046992175841
0.63285630941391,0.459804475307465,-0.758494287729263,0.200455069541931,-23.6700847714777
0.905182391405106,0.862160801887512,-0.54896005988121,0.404236495494843,36.1302572254483
0.603861302137375,0.718243300914764,-0.674815863370895,0.320216715335846,-12.8816372140331
0.76185068488121,0.346842676401138,-0.674123525619507,0.0395695269107819,-16.1256098576363
0.656697928905487,0.429849088191986,-1.17328119277954,0.622421830892563,-14.4831074149663
0.815717339515686,0.534350961446762,-1.17150175571442,0.507455080747604,-10.691287134847
0.621263414621353,0.597027719020844,-0.93438795208931,0.0577229559421539,-19.6597992767303
0.753075629472733,0.777656555175781,0.378450453281403,0.352054625749588,-2.09992478382951
0.542228490114212,0.484099268913269,-0.2540083527565,-0.108439862728119,-26.0798536862357
0.898050546646118,0.818199574947357,0.37185475230217,0.354638785123825,19.7011273829807
0.541043132543564,0.671655744314194,-0.934887588024139,0.414847373962402,-9.53622576057172
0.725041836500168,0.483854174613953,-0.678593873977661,0.0924329459667206,-26.123432339514
0.905271083116531,0.698387861251831,-0.103217095136642,0.4871566593647,-4.75165235068904
0.672516703605652,0.708356350660324,-0.45117923617363,0.121665328741074,-15.9963629680428
0.36911216378212,0.628745317459106,-0.129856795072556,0.240814745426178,-9.78102376788342
0.618111371994019,0.687931656837463,-0.842282235622406,0.184747278690338,-12.0082944147172
0.726353764533997,0.516766041517258,0.196316570043564,0.293081045150757,-29.9999593517104
0.698654592037201,0.548746049404144,-0.252819746732712,-0.134380578994751,-28.1502655943796
0.758453845977783,0.567719548940659,-0.453981876373291,0.0204919874668121,-25.8978123398086
0.680619686841965,0.525931239128113,-5,-0.989999979734421,-0.127670339190693
0.8889020383358,0.406681537628174,-0.585091143846512,0.33380788564682,-18.3062098403243
0.577034026384354,0.778981238603592,0.0621695220470428,0.106450021266937,-8.83409110589838
0.69414883852005,0.748664915561676,-0.597024589776993,0.0195838809013367,-12.8464524707956
